trades,start,end,net_pnl_total,CAGR,vol_annualized,Sharpe,MaxDD,hit_rate,z_enter,z_exit,z_stop,max_hold,latency_days,fee_bps,slippage_bps,notional,z_window,spread_scale
12,2023-12-20,2025-05-08,-82410.10268527827,0.0,7.708195794004182,-0.8173012400329165,-1.7594141337897165,0.0,3.0,0.75,4.5,15,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-04-17,-20741.455157525845,0.0,4.233517948573612,0.5187047519391983,-1.711272188510793,0.1333333333333333,3.0,1.0,3.0,3,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-04-22,-24372.6763914909,0.0,1.7702287253709164,-0.2255116064537932,-1.383375014683735,0.2666666666666666,3.0,1.0,3.0,3,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-04-23,-37317.35955514602,0.0,15.257770636255916,0.699769352131216,-2.5280593828232463,0.1333333333333333,3.0,1.0,3.0,5,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-04-24,-38554.01531688447,0.0,2.210893033454128,-0.0632705341875482,-1.5506364095389813,0.1333333333333333,3.0,1.0,3.0,5,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-04-29,-55355.90703437437,0.0,14.45909866573732,0.7011747952084908,-2.7343851629793763,0.1333333333333333,3.0,1.0,3.0,10,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-04-30,-51033.27981832359,0.0,2.700946299030337,0.0996587874760287,-1.6796226941505896,0.1333333333333333,3.0,1.0,3.0,10,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-04-29,-55384.10638141536,0.0,13.90400814614468,0.7008326674425243,-2.7364781156900286,0.1333333333333333,3.0,1.0,3.0,15,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-04-30,-51037.312303364844,0.0,2.6976967175304214,0.0981537689413398,-1.6799562183087118,0.1333333333333333,3.0,1.0,3.0,15,2,1.0,1.0,250000.0,60,auto
13,2023-12-07,2025-04-17,-41246.800209475856,0.0,1.252460957493322,-1.0609722127738397,-1.1646510949304516,0.0769230769230769,3.0,1.0,3.5,3,1,1.0,1.0,250000.0,60,auto
13,2023-12-08,2025-04-22,-36336.10608132914,-0.7234620853256122,0.5569307866556125,-1.1002199237436678,-0.8414555898952412,0.1538461538461538,3.0,1.0,3.5,3,2,1.0,1.0,250000.0,60,auto
12,2023-12-11,2025-04-17,-43507.96529284561,0.0,1.066117450384212,-1.1069495380918717,-1.119183985009957,0.0833333333333333,3.0,1.0,3.5,5,1,1.0,1.0,250000.0,60,auto
