date,pair,A_ticker,A_price,B_ticker,B_price,fx_used,curA,curB,denom
2014-12-01,IWDA_AS_XDWD_DE,IWDA.AS,33.845001220703125,XDWD.DE,37.16999816894531,1.0,EUR,EUR,B
2014-12-02,IWDA_AS_XDWD_DE,IWDA.AS,34.14500045776367,XDWD.DE,37.529998779296875,1.0,EUR,EUR,B
2014-12-03,IWDA_AS_XDWD_DE,IWDA.AS,33.685001373291016,XDWD.DE,37.029998779296875,1.0,EUR,EUR,B
2014-12-04,IWDA_AS_XDWD_DE,IWDA.AS,34.21500015258789,XDWD.DE,37.599998474121094,1.0,EUR,EUR,B
2014-12-07,IWDA_AS_XDWD_DE,IWDA.AS,34.07500076293945,XDWD.DE,37.470001220703125,1.0,EUR,EUR,B
2014-12-08,IWDA_AS_XDWD_DE,IWDA.AS,33.310001373291016,XDWD.DE,36.630001068115234,1.0,EUR,EUR,B
2014-12-09,IWDA_AS_XDWD_DE,IWDA.AS,33.209999084472656,XDWD.DE,36.5099983215332,1.0,EUR,EUR,B
2014-12-10,IWDA_AS_XDWD_DE,IWDA.AS,33.380001068115234,XDWD.DE,36.720001220703125,1.0,EUR,EUR,B
2014-12-11,IWDA_AS_XDWD_DE,IWDA.AS,32.560001373291016,XDWD.DE,35.81999969482422,1.0,EUR,EUR,B
2014-12-14,IWDA_AS_XDWD_DE,IWDA.AS,32.084999084472656,XDWD.DE,35.2599983215332,1.0,EUR,EUR,B
2014-12-15,IWDA_AS_XDWD_DE,IWDA.AS,32.474998474121094,XDWD.DE,35.72999954223633,1.0,EUR,EUR,B
2014-12-16,IWDA_AS_XDWD_DE,IWDA.AS,32.39500045776367,XDWD.DE,35.59000015258789,1.0,EUR,EUR,B
2014-12-17,IWDA_AS_XDWD_DE,IWDA.AS,33.435001373291016,XDWD.DE,36.68000030517578,1.0,EUR,EUR,B
2014-12-18,IWDA_AS_XDWD_DE,IWDA.AS,33.91999816894531,XDWD.DE,37.2599983215332,1.0,EUR,EUR,B
2014-12-21,IWDA_AS_XDWD_DE,IWDA.AS,33.994998931884766,XDWD.DE,37.31999969482422,1.0,EUR,EUR,B
2014-12-22,IWDA_AS_XDWD_DE,IWDA.AS,34.31999969482422,XDWD.DE,37.66999816894531,1.0,EUR,EUR,B
2014-12-28,IWDA_AS_XDWD_DE,IWDA.AS,34.44499969482422,XDWD.DE,37.810001373291016,1.0,EUR,EUR,B
2014-12-29,IWDA_AS_XDWD_DE,IWDA.AS,34.23500061035156,XDWD.DE,37.68000030517578,1.0,EUR,EUR,B
2015-01-01,IWDA_AS_XDWD_DE,IWDA.AS,34.25,XDWD.DE,37.61000061035156,1.0,EUR,EUR,B
2015-01-04,IWDA_AS_XDWD_DE,IWDA.AS,33.875,XDWD.DE,37.25,1.0,EUR,EUR,B
2015-01-05,IWDA_AS_XDWD_DE,IWDA.AS,33.54999923706055,XDWD.DE,36.86000061035156,1.0,EUR,EUR,B
2015-01-06,IWDA_AS_XDWD_DE,IWDA.AS,34.04499816894531,XDWD.DE,37.400001525878906,1.0,EUR,EUR,B
2015-01-07,IWDA_AS_XDWD_DE,IWDA.AS,34.77000045776367,XDWD.DE,38.220001220703125,1.0,EUR,EUR,B
2015-01-08,IWDA_AS_XDWD_DE,IWDA.AS,34.415000915527344,XDWD.DE,37.81999969482422,1.0,EUR,EUR,B
2015-01-11,IWDA_AS_XDWD_DE,IWDA.AS,34.34000015258789,XDWD.DE,37.75,1.0,EUR,EUR,B
2015-01-12,IWDA_AS_XDWD_DE,IWDA.AS,34.76499938964844,XDWD.DE,38.189998626708984,1.0,EUR,EUR,B
2015-01-13,IWDA_AS_XDWD_DE,IWDA.AS,34.0099983215332,XDWD.DE,37.380001068115234,1.0,EUR,EUR,B
2015-01-14,IWDA_AS_XDWD_DE,IWDA.AS,34.80500030517578,XDWD.DE,38.279998779296875,1.0,EUR,EUR,B
2015-01-15,IWDA_AS_XDWD_DE,IWDA.AS,35.064998626708984,XDWD.DE,38.540000915527344,1.0,EUR,EUR,B
2015-01-18,IWDA_AS_XDWD_DE,IWDA.AS,35.0099983215332,XDWD.DE,38.5,1.0,EUR,EUR,B
2015-01-19,IWDA_AS_XDWD_DE,IWDA.AS,35.165000915527344,XDWD.DE,38.650001525878906,1.0,EUR,EUR,B
2015-01-20,IWDA_AS_XDWD_DE,IWDA.AS,35.439998626708984,XDWD.DE,38.90999984741211,1.0,EUR,EUR,B
2015-01-21,IWDA_AS_XDWD_DE,IWDA.AS,36.10499954223633,XDWD.DE,39.63999938964844,1.0,EUR,EUR,B
2015-01-22,IWDA_AS_XDWD_DE,IWDA.AS,36.71500015258789,XDWD.DE,40.41999816894531,1.0,EUR,EUR,B
2015-01-25,IWDA_AS_XDWD_DE,IWDA.AS,36.720001220703125,XDWD.DE,40.380001068115234,1.0,EUR,EUR,B
2015-01-26,IWDA_AS_XDWD_DE,IWDA.AS,36.224998474121094,XDWD.DE,39.849998474121094,1.0,EUR,EUR,B
2015-01-27,IWDA_AS_XDWD_DE,IWDA.AS,36.35499954223633,XDWD.DE,39.959999084472656,1.0,EUR,EUR,B
2015-01-28,IWDA_AS_XDWD_DE,IWDA.AS,36.01499938964844,XDWD.DE,39.58000183105469,1.0,EUR,EUR,B
2015-01-29,IWDA_AS_XDWD_DE,IWDA.AS,36.11000061035156,XDWD.DE,39.619998931884766,1.0,EUR,EUR,B
2015-02-01,IWDA_AS_XDWD_DE,IWDA.AS,36.064998626708984,XDWD.DE,39.630001068115234,1.0,EUR,EUR,B
2015-02-02,IWDA_AS_XDWD_DE,IWDA.AS,36.08000183105469,XDWD.DE,39.650001525878906,1.0,EUR,EUR,B
2015-02-03,IWDA_AS_XDWD_DE,IWDA.AS,36.5,XDWD.DE,40.11000061035156,1.0,EUR,EUR,B
2015-02-04,IWDA_AS_XDWD_DE,IWDA.AS,36.64500045776367,XDWD.DE,40.2599983215332,1.0,EUR,EUR,B
2015-02-05,IWDA_AS_XDWD_DE,IWDA.AS,36.974998474121094,XDWD.DE,40.599998474121094,1.0,EUR,EUR,B
2015-02-08,IWDA_AS_XDWD_DE,IWDA.AS,36.73500061035156,XDWD.DE,40.2599983215332,1.0,EUR,EUR,B
2015-02-09,IWDA_AS_XDWD_DE,IWDA.AS,36.849998474121094,XDWD.DE,40.5,1.0,EUR,EUR,B
2015-02-10,IWDA_AS_XDWD_DE,IWDA.AS,36.95000076293945,XDWD.DE,40.58000183105469,1.0,EUR,EUR,B
2015-02-11,IWDA_AS_XDWD_DE,IWDA.AS,37.005001068115234,XDWD.DE,40.599998474121094,1.0,EUR,EUR,B
2015-02-12,IWDA_AS_XDWD_DE,IWDA.AS,37.23500061035156,XDWD.DE,40.86000061035156,1.0,EUR,EUR,B
2015-02-15,IWDA_AS_XDWD_DE,IWDA.AS,37.29499816894531,XDWD.DE,41.060001373291016,1.0,EUR,EUR,B
2015-02-16,IWDA_AS_XDWD_DE,IWDA.AS,37.314998626708984,XDWD.DE,40.95000076293945,1.0,EUR,EUR,B
2015-02-17,IWDA_AS_XDWD_DE,IWDA.AS,37.54999923706055,XDWD.DE,41.20000076293945,1.0,EUR,EUR,B
2015-02-18,IWDA_AS_XDWD_DE,IWDA.AS,37.55500030517578,XDWD.DE,41.209999084472656,1.0,EUR,EUR,B
2015-02-19,IWDA_AS_XDWD_DE,IWDA.AS,37.60499954223633,XDWD.DE,41.25,1.0,EUR,EUR,B
2015-02-22,IWDA_AS_XDWD_DE,IWDA.AS,37.84000015258789,XDWD.DE,41.459999084472656,1.0,EUR,EUR,B
2015-02-23,IWDA_AS_XDWD_DE,IWDA.AS,38.029998779296875,XDWD.DE,41.709999084472656,1.0,EUR,EUR,B
2015-02-24,IWDA_AS_XDWD_DE,IWDA.AS,37.959999084472656,XDWD.DE,41.619998931884766,1.0,EUR,EUR,B
2015-02-25,IWDA_AS_XDWD_DE,IWDA.AS,38.42499923706055,XDWD.DE,42.15999984741211,1.0,EUR,EUR,B
2015-02-26,IWDA_AS_XDWD_DE,IWDA.AS,38.39500045776367,XDWD.DE,42.130001068115234,1.0,EUR,EUR,B
2015-03-01,IWDA_AS_XDWD_DE,IWDA.AS,38.51499938964844,XDWD.DE,42.2400016784668,1.0,EUR,EUR,B
2015-03-02,IWDA_AS_XDWD_DE,IWDA.AS,38.22999954223633,XDWD.DE,41.9900016784668,1.0,EUR,EUR,B
2015-03-03,IWDA_AS_XDWD_DE,IWDA.AS,38.56999969482422,XDWD.DE,42.34000015258789,1.0,EUR,EUR,B
2015-03-04,IWDA_AS_XDWD_DE,IWDA.AS,38.86000061035156,XDWD.DE,42.599998474121094,1.0,EUR,EUR,B
2015-03-05,IWDA_AS_XDWD_DE,IWDA.AS,39.03499984741211,XDWD.DE,42.77000045776367,1.0,EUR,EUR,B
2015-03-08,IWDA_AS_XDWD_DE,IWDA.AS,38.94499969482422,XDWD.DE,42.709999084472656,1.0,EUR,EUR,B
2015-03-09,IWDA_AS_XDWD_DE,IWDA.AS,38.82500076293945,XDWD.DE,42.56999969482422,1.0,EUR,EUR,B
2015-03-10,IWDA_AS_XDWD_DE,IWDA.AS,39.345001220703125,XDWD.DE,43.09000015258789,1.0,EUR,EUR,B
2015-03-11,IWDA_AS_XDWD_DE,IWDA.AS,39.54499816894531,XDWD.DE,43.310001373291016,1.0,EUR,EUR,B
2015-03-12,IWDA_AS_XDWD_DE,IWDA.AS,39.61000061035156,XDWD.DE,43.400001525878906,1.0,EUR,EUR,B
2015-03-15,IWDA_AS_XDWD_DE,IWDA.AS,39.83000183105469,XDWD.DE,43.650001525878906,1.0,EUR,EUR,B
2015-03-16,IWDA_AS_XDWD_DE,IWDA.AS,39.709999084472656,XDWD.DE,43.560001373291016,1.0,EUR,EUR,B
2015-03-17,IWDA_AS_XDWD_DE,IWDA.AS,39.650001525878906,XDWD.DE,43.470001220703125,1.0,EUR,EUR,B
2015-03-18,IWDA_AS_XDWD_DE,IWDA.AS,39.95500183105469,XDWD.DE,43.790000915527344,1.0,EUR,EUR,B
2015-03-19,IWDA_AS_XDWD_DE,IWDA.AS,39.845001220703125,XDWD.DE,43.66999816894531,1.0,EUR,EUR,B
2015-03-22,IWDA_AS_XDWD_DE,IWDA.AS,39.57500076293945,XDWD.DE,43.41999816894531,1.0,EUR,EUR,B
2015-03-23,IWDA_AS_XDWD_DE,IWDA.AS,39.58000183105469,XDWD.DE,43.36000061035156,1.0,EUR,EUR,B
2015-03-24,IWDA_AS_XDWD_DE,IWDA.AS,38.939998626708984,XDWD.DE,42.75,1.0,EUR,EUR,B
2015-03-25,IWDA_AS_XDWD_DE,IWDA.AS,38.86000061035156,XDWD.DE,42.650001525878906,1.0,EUR,EUR,B
2015-03-26,IWDA_AS_XDWD_DE,IWDA.AS,38.845001220703125,XDWD.DE,42.65999984741211,1.0,EUR,EUR,B
2015-03-29,IWDA_AS_XDWD_DE,IWDA.AS,39.494998931884766,XDWD.DE,43.31999969482422,1.0,EUR,EUR,B
2015-03-30,IWDA_AS_XDWD_DE,IWDA.AS,39.560001373291016,XDWD.DE,43.380001068115234,1.0,EUR,EUR,B
2015-03-31,IWDA_AS_XDWD_DE,IWDA.AS,39.244998931884766,XDWD.DE,43.11000061035156,1.0,EUR,EUR,B
2015-04-01,IWDA_AS_XDWD_DE,IWDA.AS,39.16999816894531,XDWD.DE,42.91999816894531,1.0,EUR,EUR,B
2015-04-06,IWDA_AS_XDWD_DE,IWDA.AS,39.724998474121094,XDWD.DE,43.5,1.0,EUR,EUR,B
2015-04-07,IWDA_AS_XDWD_DE,IWDA.AS,39.79999923706055,XDWD.DE,43.58000183105469,1.0,EUR,EUR,B
